Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
636,"Open Box - LG 75"" 4K UHD HDR LED webOS Smart TV (75UP8070PUA) - 2021",183,"$1,529.99",15.5,LG,LED,75,4K
637,"LG 75"" 4K UHD HDR LCD webOS Smart TV (75UN8570AUD)",796,"$2,198.97",$78,LG,LCD,75,4K
638,"Samsung NT670U Series 55"" 4K UHD LED TV - (HG55NT670UFXZA)",0,$773.99,15.5,Samsung,LED,55,4K
639,"Open Box - Sony 50"" 4K UHD HDR LED Google Smart TV (KD50X85J) - 2021",3,$764.99,15.5,Sony,LED,50,4K
640,"Open Box - Insignia 50"" 4K UHD HDR QLED Fire Smart TV (NS-50F501CA22) - 2020",0,$467.99,$215,Insignia,LED,50,4K
641,"Samsung 75"" 8K UHD Neo QLED Tizen Smart TV (QN75QN800BFXZ) - Stainless Steel - Open Box",0,"$3,439.99",$851,Samsung,LED,75,8K
642,"LG OLED65C2PUA 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (Factory Refurbished)",0,"$1,749",15.5,LG,OLED,65,4K
643,"LG 50"" 4K UHD HDR QNED webOS Smart TV (50QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue - Open Box",0,$919.99,$450,LG,QNED,50,4K
644,Samsung QN55LS01BAFXZC 55-Inch The Serif QLED 4K UHD HDR Smart TV - Open Box,0,"$1,349",15.5,Samsung,LED,55,4K
645,"LG 86"" 4K UHD HDR QNED webOS Smart TV (86QNED85UQA) - 2022 - Dark Titan Silver/Ashed Blue - Open Box",187,"$3,599.99",15.5,LG,QNED,86,4K
646,"Open Box - LG 50"" 4K UHD HDR LED webOS Smart TV (50UP7560AUD) - 2021",0,$639.99,15.5,LG,LED,50,4K
647,"Samsung 75"" 4K UHD HDR QLED Tizen OS Smart TV (QN75QN88AAFXZC) - 2021 - Titan Black - Only at Best Buy",323,"$2,898.97",$501,Samsung,LED,75,4K
648,"[Bundle Open Box 10/10] Samsung 65"" 4K UHD Neo QLED Tizen Smart TV (QN65QN85BAFXZC) + Samsung HW-B650 430-Watt 3.1 Soundbar with 1 year of La Clef De Sol Warranty",1,"$1,798",15.5,Samsung,LED,65,4K
