Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels,Status,Month
"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ9000PUD) - 2022 - Titan Grey",4,$999.99,$500,LG,LED,70,4K,New,July
"Sony 77"" 4K UHD HDR OLED Smart Google TV (XR77A80L) - 2023",0,"$4,499.99","$3,000",Sony,OLED,77,4K,New,July
"Sony BRAVIA XR 100"" 4K UHD HDR LED Google Smart TV (XR100X92) - 2021",11,"$16,999.99",15.5,Sony,LED,100,4K,New,July
"Sony 65"" 4K UHD HDR OLED Smart Google TV (XR65A80L) - 2023",0,"$3,299.99",0,Sony,OLED,65,4K,New,July
"Open Box - Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",7727,$239.99,15.5,Samsung,LED,32,1080p,Open Box,July
"Sony 55"" 4K UHD HDR OLED Smart Google TV (XR55A80L) - 2023",0,"$2,399.99",15.5,Sony,OLED,55,4K,New,July
"Sony X80K 75"" 4K UHD HDR LED Smart Google TV (KD75X80K) - 2022",519,"$1,599.99",12.2,Sony,LED,75,4K,New,July
"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU7000FXZC) - Titan Grey",14,$359.99,$100,Samsung,LED,43,4K,Open Box,July
"Sony 75"" 4K UHD HDR LED Smart Google TV (KD75X77L) - 2023",0,"$1,499.99",0,Sony,LED,75,4K,New,July
"TCL 32"" S-Class 720p HD LED Roku OS Smart TV (32S250R-CA) - 2023",24,$179.99,15.5,TCL,LED,32,720p,New,July
"LG 55"" 4K UHD HDR LED webOS Smart TV (55NANO75UQA) - 2022 - Ashed Blue",471,$799.99,$200,LG,LED,55,4K,New,July
"Sony 75"" 4K UHD HDR Mini-LED Smart Google TV (XR75X93L) - 2023",0,"$3,999.99",15.5,Sony,LED,75,4K,New,July
"Sony X80K 85"" 4K UHD HDR LED Smart Google TV (KD85X80K) - 2022",310,"$2,199.99",$80,Sony,LED,85,4K,New,July
"Samsung 50"" 4K UHD HDR QLED Tizen Smart TV (QN50Q80BAFXZC) - Titan Black - Open Box",0,$719.99,$900,Samsung,LED,50,4K,Open Box,July
"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN90CAFXZC) - 2023 - Titan Black",24,"$3,699.99",$300,Samsung,LED,75,4K,New,July
"Samsung 55"" 4K UHD HDR Neo QLED Tizen Smart TV (QN55QN90CAFXZC) - 2023 - Titan Black",12,"$2,099.99",15.5,Samsung,LED,55,4K,New,July
